state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes
Arizona,1890880,434823,106810,328013,2021,1,2019,11,"Arizona
(34.293239, -111.664616)",""
Arizona,1892617,434404,107339,327065,2021,1,2019,10,"Arizona
(34.293239, -111.664616)",""
Montana,248243,93004,93004,0,2021,1,2019,11,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
South Dakota,102766,"","","",2021,1,2019,11,"South Dakota
(44.43614, -100.230491)",""
Montana,246051,92050,92050,0,2021,1,2019,12,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2773266,590346,590054,292,2021,1,2019,12,"Ohio
(40.415534, -82.70936)",""
Tennessee,1592720,"","","",2021,1,2019,10,"Tennessee
(35.842998, -86.343226)",""
Hawaii,309622,110477,19929,90548,2021,1,2019,11,"Hawaii
(21.361013, -157.854309)",""
Maine,283009,48660,35673,12987,2021,1,2019,12,"Maine
(45.117911, -69.06137)","Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1732612,348153,0,348153,2021,1,2019,10,"Massachusetts
(42.151077, -71.481104)",""
Virginia,1288153,323020,323020,0,2021,1,2019,10,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,1602059,532712,532712,0,2021,1,2019,12,"New Jersey
(40.110253, -74.655514)",""
New York,6081106,1859164,305710,1553454,2021,1,2019,11,"New York
(42.921241, -75.59655)",""
Delaware,212271,62073,9455,52618,2021,1,2019,11,"Delaware
(38.994926, -75.452394)",""
Oregon,968223,469903,385771,84132,2021,1,2019,11,"Oregon
(43.940449, -120.605279)",""
Puerto Rico,1176330,403656,"",403656,2021,1,2019,10,"Puerto Rico
(18.215692, -66.414655)",""
Dist. Of Col.,262775,108753,67340,41413,2021,1,2019,12,"",""
West Virginia,518356,161231,161231,0,2021,1,2019,12,"West Virginia
(38.642579, -80.613729)",""
Wyoming,53957,"","","",2021,1,2019,10,"Wyoming
(42.999627, -107.55145)",""
Missouri,840625,"","","",2021,1,2019,10,"Missouri
(38.3675, -92.477244)",""
Washington,1727578,552394,538549,13845,2021,1,2019,11,"Washington
(47.411715, -120.592492)",""
Florida,3798710,"","","",2021,1,2019,10,"Florida
(28.260731, -82.420978)",""
Louisiana,1606433,464158,464158,0,2021,1,2019,11,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,641186,"","","",2021,1,2019,11,"Oklahoma
(35.583449, -97.508297)",""
Hawaii,309262,110688,20061,90627,2021,1,2019,12,"Hawaii
(21.361013, -157.854309)",""
Illinois,2669618,687325,579976,107349,2021,1,2019,10,"Illinois
(40.124144, -89.148632)",""
Pennsylvania,2828468,761146,723721,37425,2021,1,2019,12,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
N. Mariana Islands,16476,"","","",2021,1,2020,2,"",""
Louisiana,1631168,474016,474016,0,2021,1,2019,10,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1329918,311416,311416,0,2021,1,2019,11,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,290964,0,0,0,2021,1,2019,10,"Idaho
(44.389073, -114.659366)","Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Utah,295255,0,0,0,2021,1,2019,11,"Utah
(39.323779, -111.678222)","Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Washington,1728243,550010,536008,14002,2021,1,2019,10,"Washington
(47.411715, -120.592492)",""
New Hampshire,182328,54056,53770,286,2021,1,2019,12,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Mexico,829475,262758,262758,0,2021,1,2019,12,"New Mexico
(34.421369, -106.108388)",""
New Mexico,832163,260640,260640,0,2021,1,2019,10,"New Mexico
(34.421369, -106.108388)",""
South Dakota,102372,"","","",2021,1,2019,12,"South Dakota
(44.43614, -100.230491)",""
Texas,4167613,"","","",2021,1,2019,10,"Texas
(31.447238, -99.317341)",""
Connecticut,950278,267592,243127,24465,2021,1,2019,11,"Connecticut
(41.575155, -72.738288)",""
Iowa,604168,176527,160837,15690,2021,1,2019,12,"Iowa
(42.074659, -93.500061)",""
New York,6117057,1876320,307763,1568557,2021,1,2019,10,"New York
(42.921241, -75.59655)",""
Maryland,1245534,311298,311298,0,2021,1,2019,12,"Maryland
(38.946466, -76.687282)",""
South Carolina,1276521,"","","",2021,1,2019,12,"South Carolina
(33.878572, -80.864614)",""
Amer. Samoa,35002,"","","",2021,1,2019,11,"",""
Arkansas,834710,255954,255047,907,2021,1,2019,10,"Arkansas
(34.899825, -92.439162)",""
Missouri,833214,"","","",2021,1,2019,12,"Missouri
(38.3675, -92.477244)",""
Idaho,292239,0,0,0,2021,1,2019,11,"Idaho
(44.389073, -114.659366)","Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,34389,4013,"",4013,2021,1,2019,12,"Guam
(13.3532, 144.653198)",""
Wisconsin,1183923,"","","",2021,1,2019,12,"Wisconsin
(44.639954, -89.732969)",""
Nebraska,238178,"","","",2021,1,2019,10,"Nebraska
(41.527099, -99.810595)",""
Vermont,163672,53591,0,53591,2021,1,2019,12,"Vermont
(44.075252, -72.662695)",""
N. Mariana Islands,16261,"","","",2021,1,2019,11,"",""
South Dakota,103207,"","","",2021,1,2019,10,"South Dakota
(44.43614, -100.230491)",""
Totals,74622336,15430736,12174701,3256035,2021,1,2019,11,"",""
Michigan,2379783,670324,619735,50589,2021,1,2019,11,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1267726,441600,441600,0,2021,1,2019,11,"Kentucky
(37.526683, -85.290484)",""
Connecticut,956280,270969,246283,24686,2021,1,2019,12,"Connecticut
(41.575155, -72.738288)",""
Oklahoma,632428,"","","",2021,1,2019,12,"Oklahoma
(35.583449, -97.508297)",""
Pennsylvania,2825103,757847,720556,37291,2021,1,2019,11,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1582551,"","","",2021,1,2019,11,"Tennessee
(35.842998, -86.343226)",""
Mississippi,674189,"","","",2021,1,2019,10,"Mississippi
(32.713378, -89.65344)",""
New Mexico,831402,261882,261882,0,2021,1,2019,11,"New Mexico
(34.421369, -106.108388)",""
Dist. Of Col.,263148,108315,66928,41387,2021,1,2019,11,"",""
Pennsylvania,2828339,759685,721993,37692,2021,1,2019,10,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1294491,326870,326870,0,2021,1,2019,11,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Indiana,1342124,311234,311234,0,2021,1,2019,10,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,282289,44275,32177,12098,2021,1,2019,10,"Maine
(45.117911, -69.06137)","Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1884150,434164,106610,327554,2021,1,2019,12,"Arizona
(34.293239, -111.664616)",""
Massachusetts,1702123,340983,0,340983,2021,1,2019,11,"Massachusetts
(42.151077, -71.481104)",""
West Virginia,520959,161642,161642,0,2021,1,2019,10,"West Virginia
(38.642579, -80.613729)",""
New York,6062348,1853013,305619,1547394,2021,1,2019,12,"New York
(42.921241, -75.59655)",""
Utah,294895,0,0,0,2021,1,2019,10,"Utah
(39.323779, -111.678222)","Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,53793,"","","",2021,1,2019,11,"Wyoming
(42.999627, -107.55145)",""
Dist. Of Col.,262638,108244,66670,41574,2021,1,2019,10,"",""
Nevada,586954,210398,210398,0,2021,1,2019,10,"Nevada
(39.283294, -114.916992)",""
Utah,295804,0,0,0,2021,1,2019,12,"Utah
(39.323779, -111.678222)","Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1218150,381126,373414,7712,2021,1,2019,11,"Colorado
(38.998552, -105.547832)",""
Kansas,358036,"","","",2021,1,2019,12,"Kansas
(38.484729, -98.38018)",""
North Carolina,2169538,"","","",2021,1,2019,10,"North Carolina
(35.52603, -79.130883)",""
Ohio,2782356,594484,594197,287,2021,1,2019,11,"Ohio
(40.415534, -82.70936)",""
Virgin Islands,30569,14237,"",14237,2021,1,2019,12,"Virgin Islands
(18.060868, -64.840836)","The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,3774396,"","","",2021,1,2019,11,"Florida
(28.260731, -82.420978)",""
Indiana,1318948,310992,310992,0,2021,1,2019,12,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,310264,110409,19778,90631,2021,1,2019,10,"Hawaii
(21.361013, -157.854309)",""
Nevada,582213,209440,209440,0,2021,1,2019,12,"Nevada
(39.283294, -114.916992)",""
Oregon,969850,470379,385934,84445,2021,1,2019,10,"Oregon
(43.940449, -120.605279)",""
Georgia,2035551,"","","",2021,1,2019,12,"Georgia
(32.638481, -83.426574)",""
Illinois,2659299,686835,579195,107640,2021,1,2019,11,"Illinois
(40.124144, -89.148632)",""
N. Mariana Islands,15586,"","","",2021,1,2019,10,"",""
Rhode Island,288686,63878,63878,0,2021,1,2019,12,"Rhode Island
(41.572574, -71.534637)",""
Puerto Rico,1165633,401271,"",401271,2021,1,2019,11,"Puerto Rico
(18.215692, -66.414655)",""
Nebraska,237908,"","","",2021,1,2019,11,"Nebraska
(41.527099, -99.810595)",""
Texas,4143053,"","","",2021,1,2019,11,"Texas
(31.447238, -99.317341)",""
Oregon,966536,470154,386188,83966,2021,1,2019,12,"Oregon
(43.940449, -120.605279)",""
Mississippi,670013,"","","",2021,1,2019,12,"Mississippi
(32.713378, -89.65344)",""
South Carolina,1290547,"","","",2021,1,2019,10,"South Carolina
(33.878572, -80.864614)",""
Wyoming,54231,"","","",2021,1,2019,12,"Wyoming
(42.999627, -107.55145)",""
Alabama,1048875,"","","",2021,1,2019,10,"Alabama
(32.756889, -86.844516)",""
Minnesota,1068532,190069,189228,841,2021,1,2019,10,"Minnesota
(46.349153, -94.198308)",""
Massachusetts,1685220,336415,0,336415,2021,1,2019,12,"Massachusetts
(42.151077, -71.481104)",""
Delaware,212146,62078,9531,52547,2021,1,2019,12,"Delaware
(38.994926, -75.452394)",""
Kansas,357725,"","","",2021,1,2019,11,"Kansas
(38.484729, -98.38018)",""
California,12533958,3730683,3713003,17680,2021,1,2019,10,"California
(37.211164, -119.662127)",""
Alaska,213889,53931,53929,2,2021,1,2019,11,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1053161,186837,186016,821,2021,1,2019,11,"Minnesota
(46.349153, -94.198308)",""
North Dakota,88431,19602,18665,937,2021,1,2019,10,"North Dakota
(47.446305, -100.46931)",""
North Carolina,2161348,"","","",2021,1,2019,12,"North Carolina
(35.52603, -79.130883)",""
Wisconsin,1185552,"","","",2021,1,2019,10,"Wisconsin
(44.639954, -89.732969)",""
New Hampshire,180170,51602,51321,281,2021,1,2019,10,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Nebraska,236655,"","","",2021,1,2019,12,"Nebraska
(41.527099, -99.810595)",""
Virginia,1313429,343047,343047,0,2021,1,2019,12,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1260844,440673,440673,0,2021,1,2019,12,"Kentucky
(37.526683, -85.290484)",""
Virgin Islands,30430,14160,"",14160,2021,1,2019,11,"Virgin Islands
(18.060868, -64.840836)","The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Arkansas,835370,259656,258779,877,2021,1,2019,12,"Arkansas
(34.899825, -92.439162)",""
Guam,35196,4152,"",4152,2021,1,2019,10,"Guam
(13.3532, 144.653198)",""
Maryland,1244735,312778,312778,0,2021,1,2019,10,"Maryland
(38.946466, -76.687282)",""
Maryland,1246079,312116,312116,0,2021,1,2019,11,"Maryland
(38.946466, -76.687282)",""
North Dakota,89483,20207,19238,969,2021,1,2019,11,"North Dakota
(47.446305, -100.46931)",""
Iowa,603603,174029,158514,15515,2021,1,2019,10,"Iowa
(42.074659, -93.500061)",""
Texas,4140124,"","","",2021,1,2019,12,"Texas
(31.447238, -99.317341)",""
Illinois,2653924,688602,581206,107396,2021,1,2019,12,"Illinois
(40.124144, -89.148632)",""
Vermont,164461,53669,0,53669,2021,1,2019,10,"Vermont
(44.075252, -72.662695)",""
Georgia,2039912,"","","",2021,1,2019,11,"Georgia
(32.638481, -83.426574)",""
California,12414191,3691195,3672208,18987,2021,1,2019,11,"California
(37.211164, -119.662127)",""
New Jersey,1607171,532438,532438,0,2021,1,2019,11,"New Jersey
(40.110253, -74.655514)",""
Wisconsin,1183039,"","","",2021,1,2019,11,"Wisconsin
(44.639954, -89.732969)",""
Delaware,212362,62296,9415,52881,2021,1,2019,10,"Delaware
(38.994926, -75.452394)",""
Mississippi,672341,"","","",2021,1,2019,11,"Mississippi
(32.713378, -89.65344)",""
Rhode Island,288974,63716,63716,0,2021,1,2019,11,"Rhode Island
(41.572574, -71.534637)",""
Nevada,581038,208806,208806,0,2021,1,2020,2,"Nevada
(39.283294, -114.916992)",""
Guam,34190,3947,"",3947,2021,1,2020,2,"Guam
(13.3532, 144.653198)",""
Michigan,2405918,685167,634754,50413,2021,1,2020,1,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Carolina,1264182,"","","",2021,1,2020,2,"South Carolina
(33.878572, -80.864614)",""
Alabama,1054155,"","","",2021,1,2020,3,"Alabama
(32.756889, -86.844516)",""
Totals,74732556,15622036,12363215,3258821,2021,1,2020,1,"",""
Alaska,215070,54991,54988,3,2021,1,2020,1,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,12033113,3552016,3528197,23819,2021,1,2020,3,"California
(37.211164, -119.662127)",""
Colorado,1203153,375125,367794,7331,2021,1,2020,1,"Colorado
(38.998552, -105.547832)",""
Florida,3722742,"","","",2021,1,2020,3,"Florida
(28.260731, -82.420978)",""
Totals,74275953,15545838,12279464,3266374,2021,1,2020,3,"",""
Montana,244432,91133,91133,0,2021,1,2020,1,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,637139,"","","",2021,1,2020,1,"Oklahoma
(35.583449, -97.508297)",""
Puerto Rico,1145450,400052,"",400052,2021,1,2020,3,"Puerto Rico
(18.215692, -66.414655)",""
Michigan,2421538,691982,646014,45968,2021,1,2020,3,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
North Dakota,89102,19814,18846,968,2021,1,2020,3,"North Dakota
(47.446305, -100.46931)",""
Minnesota,1044506,185813,185056,757,2021,1,2020,3,"Minnesota
(46.349153, -94.198308)",""
Washington,1727581,560016,545629,14387,2021,1,2020,3,"Washington
(47.411715, -120.592492)",""
Idaho,348389,64662,64662,0,2021,1,2020,3,"Idaho
(44.389073, -114.659366)","Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
West Virginia,519303,162324,162324,0,2021,1,2020,2,"West Virginia
(38.642579, -80.613729)",""
Georgia,2048712,"","","",2021,1,2020,1,"Georgia
(32.638481, -83.426574)",""
Rhode Island,290100,64419,64419,0,2021,1,2020,1,"Rhode Island
(41.572574, -71.534637)",""
Louisiana,1616933,484532,484532,0,2021,1,2020,3,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1575073,"","","",2021,1,2020,3,"Tennessee
(35.842998, -86.343226)",""
North Carolina,2153000,"","","",2021,1,2020,2,"North Carolina
(35.52603, -79.130883)",""
Ohio,2769655,584940,584646,294,2021,1,2020,1,"Ohio
(40.415534, -82.70936)",""
Alabama,1053681,"","","",2021,1,2020,2,"Alabama
(32.756889, -86.844516)",""
Maine,284621,49504,37481,12023,2021,1,2020,2,"Maine
(45.117911, -69.06137)","Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
N. Mariana Islands,16861,"","","",2021,1,2020,3,"",""
Virgin Islands,30818,14400,"",14400,2021,1,2020,1,"Virgin Islands
(18.060868, -64.840836)","The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Vermont,163155,53983,0,53983,2021,1,2020,2,"Vermont
(44.075252, -72.662695)",""
Connecticut,954441,269159,244321,24838,2021,1,2020,1,"Connecticut
(41.575155, -72.738288)",""
Missouri,834430,"","","",2021,1,2020,2,"Missouri
(38.3675, -92.477244)",""
New Jersey,1599594,531848,531848,0,2021,1,2020,1,"New Jersey
(40.110253, -74.655514)",""
Arkansas,831894,258647,257797,850,2021,1,2020,2,"Arkansas
(34.899825, -92.439162)",""
Kansas,358102,"","","",2021,1,2020,1,"Kansas
(38.484729, -98.38018)",""
New Hampshire,181751,53939,53667,272,2021,1,2020,2,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Kentucky,1257584,440202,440202,0,2021,1,2020,1,"Kentucky
(37.526683, -85.290484)",""
Amer. Samoa,35002,"","","",2021,1,2020,1,"",""
Alaska,215774,55753,55746,7,2021,1,2020,3,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,599764,175680,160093,15587,2021,1,2020,2,"Iowa
(42.074659, -93.500061)",""
Colorado,1194449,371796,364566,7230,2021,1,2020,3,"Colorado
(38.998552, -105.547832)",""
Arizona,1869056,432127,104906,327221,2021,1,2020,2,"Arizona
(34.293239, -111.664616)",""
Arizona,1874047,432349,106010,326339,2021,1,2020,1,"Arizona
(34.293239, -111.664616)",""
Montana,239252,88550,88550,0,2021,1,2020,2,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
South Dakota,103113,"","","",2021,1,2020,2,"South Dakota
(44.43614, -100.230491)",""
Montana,236749,87425,87425,0,2021,1,2020,3,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2746541,565498,565205,293,2021,1,2020,3,"Ohio
(40.415534, -82.70936)",""
Tennessee,1597918,"","","",2021,1,2020,1,"Tennessee
(35.842998, -86.343226)",""
Hawaii,307367,110151,19690,90461,2021,1,2020,2,"Hawaii
(21.361013, -157.854309)",""
Maine,289016,51632,39367,12265,2021,1,2020,3,"Maine
(45.117911, -69.06137)","Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1710888,342394,0,342394,2021,1,2020,1,"Massachusetts
(42.151077, -71.481104)",""
Virginia,1346849,372098,372098,0,2021,1,2020,1,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
New Jersey,1589121,527959,527959,0,2021,1,2020,3,"New Jersey
(40.110253, -74.655514)",""
New York,6059971,1856298,308174,1548124,2021,1,2020,2,"New York
(42.921241, -75.59655)",""
Delaware,213312,62743,9702,53041,2021,1,2020,2,"Delaware
(38.994926, -75.452394)",""
Oregon,978729,478093,392861,85232,2021,1,2020,2,"Oregon
(43.940449, -120.605279)",""
Puerto Rico,1155487,401358,"",401358,2021,1,2020,1,"Puerto Rico
(18.215692, -66.414655)",""
Dist. Of Col.,253594,102354,63450,38904,2021,1,2020,3,"",""
West Virginia,516523,161759,161759,0,2021,1,2020,3,"West Virginia
(38.642579, -80.613729)",""
Wyoming,54269,"","","",2021,1,2020,1,"Wyoming
(42.999627, -107.55145)",""
Missouri,832892,"","","",2021,1,2020,1,"Missouri
(38.3675, -92.477244)",""
Washington,1724834,554982,540499,14483,2021,1,2020,2,"Washington
(47.411715, -120.592492)",""
Florida,3779728,"","","",2021,1,2020,1,"Florida
(28.260731, -82.420978)",""
Louisiana,1618926,479107,479107,0,2021,1,2020,2,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,634873,"","","",2021,1,2020,2,"Oklahoma
(35.583449, -97.508297)",""
Hawaii,309968,112076,19986,92090,2021,1,2020,3,"Hawaii
(21.361013, -157.854309)",""
Illinois,2650586,686576,578685,107891,2021,1,2020,1,"Illinois
(40.124144, -89.148632)",""
Pennsylvania,2837782,769508,731135,38373,2021,1,2020,3,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Louisiana,1631986,492750,492750,0,2021,1,2020,1,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1353191,323012,323012,0,2021,1,2020,2,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,336747,58566,58566,0,2021,1,2020,1,"Idaho
(44.389073, -114.659366)","Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Utah,300013,47999,47259,740,2021,1,2020,2,"Utah
(39.323779, -111.678222)","Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Amer. Samoa,35002,"","","",2021,1,2020,3,"",""
Washington,1730774,556947,542599,14348,2021,1,2020,1,"Washington
(47.411715, -120.592492)",""
New Hampshire,183234,54902,54623,279,2021,1,2020,3,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Mexico,831724,264036,264036,0,2021,1,2020,3,"New Mexico
(34.421369, -106.108388)",""
New Mexico,834667,265364,265364,0,2021,1,2020,1,"New Mexico
(34.421369, -106.108388)",""
South Dakota,102861,"","","",2021,1,2020,3,"South Dakota
(44.43614, -100.230491)",""
Texas,4155511,"","","",2021,1,2020,1,"Texas
(31.447238, -99.317341)",""
Connecticut,954970,268784,243847,24937,2021,1,2020,2,"Connecticut
(41.575155, -72.738288)",""
Iowa,602417,176903,161639,15264,2021,1,2020,3,"Iowa
(42.074659, -93.500061)",""
New York,6068726,1857240,307483,1549757,2021,1,2020,1,"New York
(42.921241, -75.59655)",""
Maryland,1258254,314955,314955,0,2021,1,2020,3,"Maryland
(38.946466, -76.687282)",""
South Carolina,1256038,"","","",2021,1,2020,3,"South Carolina
(33.878572, -80.864614)",""
Amer. Samoa,35002,"","","",2021,1,2020,2,"",""
Arkansas,836699,260901,260040,861,2021,1,2020,1,"Arkansas
(34.899825, -92.439162)",""
Missouri,846577,"","","",2021,1,2020,3,"Missouri
(38.3675, -92.477244)",""
Idaho,342379,61613,61613,0,2021,1,2020,2,"Idaho
(44.389073, -114.659366)","Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,33607,3843,"",3843,2021,1,2020,3,"Guam
(13.3532, 144.653198)",""
Wisconsin,1186989,"","","",2021,1,2020,3,"Wisconsin
(44.639954, -89.732969)",""
Nebraska,238589,"","","",2021,1,2020,1,"Nebraska
(41.527099, -99.810595)",""
Vermont,165180,55609,0,55609,2021,1,2020,3,"Vermont
(44.075252, -72.662695)",""
South Dakota,102784,"","","",2021,1,2020,1,"South Dakota
(44.43614, -100.230491)",""
Totals,74443888,15542456,12300921,3241535,2021,1,2020,2,"",""
Michigan,2404312,684039,636337,47702,2021,1,2020,2,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1258173,439965,439965,0,2021,1,2020,2,"Kentucky
(37.526683, -85.290484)",""
Connecticut,952488,267129,242080,25049,2021,1,2020,3,"Connecticut
(41.575155, -72.738288)",""
Oklahoma,657059,"","","",2021,1,2020,3,"Oklahoma
(35.583449, -97.508297)",""
Pennsylvania,2829830,764255,726206,38049,2021,1,2020,2,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1590345,"","","",2021,1,2020,2,"Tennessee
(35.842998, -86.343226)",""
Mississippi,671581,"","","",2021,1,2020,1,"Mississippi
(32.713378, -89.65344)",""
New Mexico,833939,265559,265559,0,2021,1,2020,2,"New Mexico
(34.421369, -106.108388)",""
Dist. Of Col.,251641,101445,63104,38341,2021,1,2020,2,"",""
Pennsylvania,2831946,764171,726439,37732,2021,1,2020,1,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1357183,381927,381927,0,2021,1,2020,2,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Indiana,1353191,317012,317012,0,2021,1,2020,1,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,283861,49123,36955,12168,2021,1,2020,1,"Maine
(45.117911, -69.06137)","Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1877209,437132,105444,331688,2021,1,2020,3,"Arizona
(34.293239, -111.664616)",""
Massachusetts,1693087,330481,0,330481,2021,1,2020,2,"Massachusetts
(42.151077, -71.481104)",""
West Virginia,518475,162449,162449,0,2021,1,2020,1,"West Virginia
(38.642579, -80.613729)",""
New York,6069271,1868886,311048,1557838,2021,1,2020,3,"New York
(42.921241, -75.59655)",""
Utah,299318,46325,45582,743,2021,1,2020,1,"Utah
(39.323779, -111.678222)","Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,54069,"","","",2021,1,2020,2,"Wyoming
(42.999627, -107.55145)",""
Dist. Of Col.,262654,108206,66942,41264,2021,1,2020,1,"",""
Nevada,582645,209687,209687,0,2021,1,2020,1,"Nevada
(39.283294, -114.916992)",""
Utah,302259,50240,49544,696,2021,1,2020,3,"Utah
(39.323779, -111.678222)","Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1198307,374920,367514,7406,2021,1,2020,2,"Colorado
(38.998552, -105.547832)",""
Kansas,355805,"","","",2021,1,2020,3,"Kansas
(38.484729, -98.38018)",""
North Carolina,2158750,"","","",2021,1,2020,1,"North Carolina
(35.52603, -79.130883)",""
Ohio,2756472,578807,578516,291,2021,1,2020,2,"Ohio
(40.415534, -82.70936)",""
Virgin Islands,31079,14552,"",14552,2021,1,2020,3,"Virgin Islands
(18.060868, -64.840836)","The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,3757042,"","","",2021,1,2020,2,"Florida
(28.260731, -82.420978)",""
Indiana,1359758,336812,336812,0,2021,1,2020,3,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,308541,110602,19928,90674,2021,1,2020,1,"Hawaii
(21.361013, -157.854309)",""
Nevada,583234,210538,210538,0,2021,1,2020,3,"Nevada
(39.283294, -114.916992)",""
Oregon,979207,478133,392876,85257,2021,1,2020,1,"Oregon
(43.940449, -120.605279)",""
Georgia,2025819,"","","",2021,1,2020,3,"Georgia
(32.638481, -83.426574)",""
Illinois,2638924,684331,577335,106996,2021,1,2020,2,"Illinois
(40.124144, -89.148632)",""
